[2026-05-06 09:13:02,680] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:13:12,923] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:13:12,923] INFO:  >> [SAFE_HANDOVER] Syncing XAUUSD SL to 4619.41605
[2026-05-06 09:13:13,020] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.51 | VEL: 0.46
[2026-05-06 09:13:13,020] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:13:23,240] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:13:23,336] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.51 | VEL: 0.46
[2026-05-06 09:13:23,337] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:13:33,555] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:13:33,654] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.5 | VEL: 0.4
[2026-05-06 09:13:33,654] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:13:43,881] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:13:43,982] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.5 | VEL: 0.38
[2026-05-06 09:13:43,982] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:13:54,268] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:13:54,679] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.5 | VEL: 0.38
[2026-05-06 09:13:54,679] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:14:04,889] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:14:04,986] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.5 | VEL: 0.34
[2026-05-06 09:14:04,986] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:14:15,238] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:14:15,334] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.5 | VEL: 0.23
[2026-05-06 09:14:15,334] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:14:25,581] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:14:25,679] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.49 | VEL: 0.19
[2026-05-06 09:14:25,679] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:14:35,900] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:14:36,002] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.5 | VEL: 0.21
[2026-05-06 09:14:36,004] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:14:46,284] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:14:46,382] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.49 | VEL: 0.17
